Waypoint,X,Y,Z
0,-21.7587,-20.3678,116.217
1,-32.757,-11.4012,120.429
2,-30.6004,-9.51664,122.934
3,-139.054,160.966,213.268
4,-102.284,169.016,181.938
5,-74.9269,185.65,172.539
6,7.66873,229.814,240.393
7,2.75424,262.295,223.604
8,27.0082,294.001,217.855
9,-84.6203,272.575,241.998
10,-36.3602,330.326,232.052
11,1.50697,366.265,229.566
12,28.6985,277.912,260.766
13,44.343,343.008,250.25
14,70.4634,382.801,246.742
15,-59.8124,312.431,253.672
16,-9.42997,380.464,249.348
17,23.1983,417.105,247.288
18,28.7142,288.86,266.569
19,49.3056,364.253,258.413
20,75.586,406.646,255.881
21,-56.6199,321.88,257.152
22,-8.63061,391.823,254.257
23,23.7582,429.044,252.595
24,26.1046,290.95,268.057
25,46.612,368.761,260.659
26,72.9334,411.712,258.378
27,-57.1487,323.334,258.114
28,-10.1687,393.738,255.577
29,21.8907,430.986,253.964
30,24.6992,291.098,268.361
31,44.7317,369.284,261.17
32,71.0453,412.32,258.91
33,-57.6786,323.199,258.323
34,-11.06,393.696,255.833
35,20.8507,430.938,254.2
36,24.1879,290.974,268.363
37,44.007,369.133,261.2
38,70.3058,412.167,258.935
39,-57.8909,322.963,258.334
40,-11.3722,393.479,255.829
41,20.5029,430.714,254.173
42,24.0619,290.888,268.32
43,43.8244,368.99,261.148
44,70.1131,412.012,258.875
45,-57.943,322.837,258.312
46,-11.4373,393.355,255.789
47,20.4352,430.585,254.12
48,24.0549,290.85,268.288
49,43.8145,368.92,261.106
