Waypoint,X,Y,Z
0,-67.9929,18.1882,101.385
1,-55.8745,-1.96671,108.474
2,-36.7329,-10.846,107.985
3,-67.3267,88.0883,211.096
4,-30.0486,85.2187,174.862
5,-7.58981,63.7899,160.923
6,47.3225,135.656,247.261
7,75.6246,122.244,218.603
8,105.786,126.503,206.604
9,17.7869,148.051,241.134
10,83.2018,186.799,229.679
11,124.715,191.911,225.434
12,72.5767,189.609,274.009
13,138.907,210.808,255.036
14,174.154,233.776,246.935
15,54.0469,199.531,257.815
16,128.316,257.627,253.948
17,167.233,275.189,252.379
18,71.9748,213.696,284.399
19,144.752,255.008,268.814
20,181.562,284.083,261.992
21,55.0227,220.569,264.231
22,128.143,287.729,263.343
23,165.51,307.743,262.391
24,63.4377,221.661,288.096
25,134.511,271.115,274.217
26,170.75,302.53,267.751
27,48.4115,227.996,267.068
28,119.434,297.707,266.998
29,155.858,318.413,266.338
30,56.533,224.098,289.529
31,126.402,275.559,276.329
32,161.913,307.948,270.003
33,44.0321,229.825,268.133
34,113.652,300.246,268.378
35,149.87,321.114,267.789
36,53.0945,224.699,290.064
37,122.359,276.618,277.093
38,157.568,309.293,270.809
39,42.0712,230.126,268.498
40,111.011,300.809,268.878
41,147.22,321.747,268.302
42,51.7299,224.867,290.25
43,120.796,276.862,277.353
44,155.928,309.606,271.085
45,41.3706,230.152,268.619
46,110.109,300.911,269.042
47,146.32,321.892,268.47
48,51.2983,224.927,290.308
49,120.303,276.935,277.433
