Waypoint,X,Y,Z
0,-24.5809,9.68649,109.365
1,-27.7822,-40.3633,114.336
2,-25.7488,-61.1707,117.382
3,-18.226,-70.036,121.706
4,-4.48081,-72.8435,126.921
5,15.3544,-71.5305,132.799
6,40.2999,-66.6798,139.158
7,69.1368,-58.7296,145.89
8,100.567,-47.8605,152.876
9,131.653,-35.0348,159.919
10,162.899,-20.342,166.943
11,195.783,-3.99064,174.188
12,230.829,13.535,181.671
13,267.096,32.1361,189.44
14,300.371,48.46,196.785
15,329.619,64.2491,203.438
16,359.298,80.1733,210.476
17,388.704,95.5284,217.664
18,415.783,110.685,224.438
19,441.092,127.22,231.115
20,464.775,143.335,237.567
21,486.716,157.854,243.464
22,507.098,171.69,249.003
23,525.904,184.645,254.148
24,543.225,197.066,259.009
25,558.913,208.63,263.407
26,573.211,219.33,267.412
27,586.052,229.666,271.213
28,597.778,239.2,274.87
29,608.244,248.394,278.348
30,617.614,257.077,281.619
31,625.988,265.235,284.696
32,633.412,272.963,287.524
33,640.076,280.028,290.117
34,646.005,286.606,292.524
35,651.454,292.445,294.785
36,656.302,297.879,296.875
37,660.601,302.928,298.812
38,664.437,307.559,300.607
39,667.855,311.808,302.268
40,670.896,315.705,303.807
41,673.598,319.278,305.23
42,675.995,322.552,306.546
43,678.12,325.551,307.764
44,680.002,328.297,308.889
45,681.666,330.811,309.93
46,683.086,333.153,310.908
47,684.298,335.328,311.825
48,685.345,337.336,312.679
49,686.241,339.194,313.475
